elapsed_time[s],time[UTC],earth_position_i_x[m],earth_position_i_y[m],earth_position_i_z[m],earth_velocity_i_x[m/s],earth_velocity_i_y[m/s],earth_velocity_i_z[m/s],sun_position_i_x[m],sun_position_i_y[m],sun_position_i_z[m],sun_velocity_i_x[m/s],sun_velocity_i_y[m/s],sun_velocity_i_z[m/s],moon_position_i_x[m],moon_position_i_y[m],moon_position_i_z[m],moon_velocity_i_x[m/s],moon_velocity_i_y[m/s],moon_velocity_i_z[m/s],spacecraft_angular_velocity_b_x[rad/s],spacecraft_angular_velocity_b_y[rad/s],spacecraft_angular_velocity_b_z[rad/s],spacecraft_quaternion_i2b_x,spacecraft_quaternion_i2b_y,spacecraft_quaternion_i2b_z,spacecraft_quaternion_i2b_w,spacecraft_torque_b_x[Nm],spacecraft_torque_b_y[Nm],spacecraft_torque_b_z[Nm],spacecraft_total_angular_momentum[Nms],spacecraft_kinematic_energy[J],spacecraft_position_i_x[m],spacecraft_position_i_y[m],spacecraft_position_i_z[m],spacecraft_velocity_i_x[m/s],spacecraft_velocity_i_y[m/s],spacecraft_velocity_i_z[m/s],spacecraft_velocity_b_x[m/s],spacecraft_velocity_b_y[m/s],spacecraft_velocity_b_z[m/s],spacecraft_acceleration_i_x[m/s2],spacecraft_acceleration_i_y[m/s2],spacecraft_acceleration_i_z[m/s2],spacecraft_latitude[rad],spacecraft_longitude[rad],spacecraft_altitude[m],geomagnetic_field_at_spacecraft_position_i_x[nT],geomagnetic_field_at_spacecraft_position_i_y[nT],geomagnetic_field_at_spacecraft_position_i_z[nT],geomagnetic_field_at_spacecraft_position_b_x[nT],geomagnetic_field_at_spacecraft_position_b_y[nT],geomagnetic_field_at_spacecraft_position_b_z[nT],solar_radiation_pressure_at_spacecraft_position[N/m2],shadow_coefficient_at_spacecraft_position,air_density_at_spacecraft_position[kg/m3],earth_position_from_spacecraft_b_x[m],earth_position_from_spacecraft_b_y[m],earth_position_from_spacecraft_b_z[m],earth_velocity_from_spacecraft_b_x[m/s],earth_velocity_from_spacecraft_b_y[m/s],earth_velocity_from_spacecraft_b_z[m/s],sun_position_from_spacecraft_b_x[m],sun_position_from_spacecraft_b_y[m],sun_position_from_spacecraft_b_z[m],sun_velocity_from_spacecraft_b_x[m/s],sun_velocity_from_spacecraft_b_y[m/s],sun_velocity_from_spacecraft_b_z[m/s],moon_position_from_spacecraft_b_x[m],moon_position_from_spacecraft_b_y[m],moon_position_from_spacecraft_b_z[m],moon_velocity_from_spacecraft_b_x[m/s],moon_velocity_from_spacecraft_b_y[m/s],moon_velocity_from_spacecraft_b_z[m/s],gravity_gradient_torque_b_x[Nm],gravity_gradient_torque_b_y[Nm],gravity_gradient_torque_b_z[Nm],srp_torque_b_x[Nm],srp_torque_b_y[Nm],srp_torque_b_z[Nm],srp_force_b_x[N],srp_force_b_y[N],srp_force_b_z[N],third_body_acceleration_i_x[m/s2],third_body_acceleration_i_y[m/s2],third_body_acceleration_i_z[m/s2],air_drag_torque_b_x[Nm],air_drag_torque_b_y[Nm],air_drag_torque_b_z[Nm],air_drag_force_b_x[N],air_drag_force_b_y[N],air_drag_force_b_z[N],spacecraft_magnetic_moment_b_x[Am2],spacecraft_magnetic_moment_b_y[Am2],spacecraft_magnetic_moment_b_z[Am2],magnetic_disturbance_torque_b_x[Nm],magnetic_disturbance_torque_b_y[Nm],magnetic_disturbance_torque_b_z[Nm],geopotential_acceleration_ecef_x[m/s2],geopotential_acceleration_ecef_y[m/s2],geopotential_acceleration_ecef_z[m/s2],
0,2023/03/01 12:00:-0.000,0,0,0,0,0,0,1.39551e+11,-4.58073e+10,-1.98575e+10,10507.3,25837,11200.7,-3.03345e+07,3.55639e+08,1.87605e+08,-968.271,-62.9759,23.5068,0,0,0,0,0,0,1,0,-0,0,0,0,-2111769.772371114,-5360353.225437577,3596181.649777496,4200.434474,-4637.540129,-4429.236126,4200.434474,-4637.540129,-4429.236126,0,0,0,0.560853,4.70297,419453,0,0,0,0,0,0,4.55649e-06,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,16.3,0,0,0,0,0,0,
10,2023/03/01 12:00:10.000,0,0,0,0,0,0,1.39551e+11,-4.58071e+10,-1.98574e+10,10507.2,25837,11200.7,-3.03442e+07,3.55639e+08,1.87606e+08,-968.269,-62.9979,23.4952,-0.278721,0.112214,0.00538987,-0.857135,0.336471,0.0126274,0.389805,0.000385143,-0.000161274,-2.74727e-06,0.00330517,0.00049659,-2069631.969971549,-5406386.623483445,3551661.442726991,4227.036471,-4569.042309,-4474.710574,7129.684615,2618.322455,1038.751406,-1.144006463e-06,1.087548051e-06,8.797973539e-07,0.553114,4.71192,419395,13399.4,36334.8,-1286.82,-9532.32,-23266.5,29482.6,4.64199e-06,1,2.6741e-12,-379795,-1.22371e+06,6.66971e+06,-738171,-1.89621e+06,-389927,1.39727e+11,-4.67209e+10,1.61514e+10,-2.00245e+09,-5.3317e+09,1.90035e+09,-2.7738e+08,-2.71343e+08,1.20258e+08,-1.45113e+07,-3.27084e+07,-1.07251e+08,4.45766e-09,-1.3835e-09,5.84247e-26,-2.58494e-26,-3.61892e-25,-8.27181e-25,-1.36899e-07,3.98987e-08,-1.21394e-08,0,0,0,-8.27181e-25,4.96308e-24,0,-4.52431e-06,-1.17002e-06,-3.06722e-07,0.20001,0.199979,16.2999,0.000385139,-0.000161273,-2.74727e-06,0,0,0,
20,2023/03/01 12:00:20.000,0,0,0,0,0,0,1.39551e+11,-4.58068e+10,-1.98573e+10,10507.2,25837,11200.7,-3.03539e+07,3.55638e+08,1.87606e+08,-968.268,-63.0198,23.4837,0.225328,-0.101849,-0.00339568,-0.902459,0.360494,0.030744,0.233808,0.000517559,-0.000224826,-3.59199e-06,0.00272009,0.000336328,-2027230.83917618,-5451732.142898241,3506689.342061379,4253.0996,-4499.965875,-4519.613895,7015.573933,1817.014216,2499.127962,-1.119033368e-06,1.078295785e-06,7.933841381e-07,0.545334,4.72079,419337,12882.2,36229.6,-677.822,-13580.3,-31539,17316.4,4.64199e-06,1,2.67672e-12,-1.24482e+06,-3.51181e+06,5.67852e+06,515513,1.26882e+06,897707,1.36459e+11,-5.63168e+10,1.32143e+10,1.98626e+09,5.18657e+09,1.59277e+09,-2.919e+08,-2.82186e+08,-1.56804e+07,3.22003e+06,-8.23538e+06,8.80972e+07,1.08908e-08,-3.86043e-09,-2.84913e-25,0,-1.55096e-25,-2.06795e-25,-1.35449e-07,4.97959e-08,-1.01337e-08,0,0,0,0,1.65436e-23,-1.32349e-23,-4.35025e-06,-7.00117e-07,-9.88195e-07,0.20002,0.200028,16.2999,0.000517548,-0.000224822,-3.59199e-06,0,0,0,
30,2023/03/01 12:00:30.000,0,0,0,0,0,0,1.39551e+11,-4.58066e+10,-1.98572e+10,10507.1,25837.1,11200.7,-3.03636e+07,3.55638e+08,1.87606e+08,-968.266,-63.0418,23.472,0.0783929,-0.0325577,-0.000740376,0.031384,0.00645515,0.0313963,0.998993,-0.000576051,0.000239562,4.12831e-06,0.00093374,3.96312e-05,-1984571.785156492,-5496384.041835733,3461271.087575203,4278.620575,-4430.319698,-4563.940396,4039.991404,-4967.55035,-4214.948585,-9.126424977e-07,9.762150018e-07,7.888201228e-07,0.537512,4.72957,419281,12399.2,36230.4,-216.727,14673.4,35317.1,-1953.66,4.642e-06,1,2.67927e-12,2.37873e+06,5.16223e+06,-3.71782e+06,-139336,-303185,-510141,1.36637e+11,-5.54616e+10,-1.48816e+10,-7.33752e+08,-1.55434e+09,-9.44191e+08,-8.04928e+06,3.71786e+08,1.63837e+08,7.47006e+06,1.33387e+07,-2.98861e+07,1.04807e-08,-4.82945e-09,6.39312e-25,0,1.03398e-25,-2.06795e-25,-1.35735e-07,4.90066e-08,1.14374e-08,0,0,0,-6.61744e-24,-6.61744e-24,0,-2.15207e-06,2.80597e-06,1.90015e-06,0.200011,0.200057,16.3,-0.000576061,0.000239567,4.12831e-06,0,0,0,
40,2023/03/01 12:00:40.000,0,0,0,0,0,0,1.39551e+11,-4.58063e+10,-1.9857e+10,10507,25837.1,11200.7,-3.03733e+07,3.55637e+08,1.87606e+08,-968.264,-63.0638,23.4604,-0.322974,0.139812,0.00652083,-0.709273,0.283849,0.0470015,0.643547,8.99902e-05,-4.21211e-05,-5.87788e-07,0.00387142,0.000681323,-1941660.245582811,-5540336.66750851,3415412.475589051,4303.59618,-4360.112719,-4607.684465,7073.524282,2136.230041,-2040.601523,-1.209092164e-06,8.546091568e-07,9.819979488e-07,0.529651,4.73826,419227,11879.6,36166.8,438.969,-2122.06,-5059.27,37673,4.642e-06,1,2.68175e-12,1.28769e+06,2.27427e+06,6.26897e+06,-830747,-2.05524e+06,916255,1.40755e+11,-4.64016e+10,1.50204e+09,-1.7771e+09,-5.2179e+09,5.33616e+09,-2.22524e+08,-1.4419e+08,3.08019e+08,-4.90917e+07,-9.12652e+07,-7.81802e+07,-7.78525e-09,4.40799e-09,-2.68726e-25,-1.61559e-27,1.29247e-26,8.27181e-25,-1.34796e-07,3.85164e-08,-1.07879e-09,0,0,0,-1.65436e-24,6.61744e-24,3.30872e-24,-4.44368e-06,-8.65477e-07,8.30758e-07,0.200039,0.199931,16.3,8.9998e-05,-4.21255e-05,-5.87788e-07,0,0,0,
50,2023/03/01 12:00:50.000,0,0,0,0,0,0,1.39551e+11,-4.5806e+10,-1.98569e+10,10507,25837.1,11200.7,-3.0383e+07,3.55636e+08,1.87606e+08,-968.263,-63.0858,23.4488,0.122573,-0.0633014,-0.00072912,-0.928441,0.368063,0.0397644,0.0307575,0.000554675,-0.00026664,-3.53564e-06,0.00151749,0.000104673,-1898501.689948368,-5583584.456886898,3369119.358191133,4328.02327,-4289.353947,-4650.840562,6511.472063,279.9894869,4035.219709,-9.949117817e-07,9.275222026e-07,6.949037247e-07,0.521751,4.74686,419175,11381.5,35986,922.951,-16344.6,-34015.2,1097.94,4.64201e-06,1,2.68416e-12,-2.12196e+06,-5.31281e+06,3.66101e+06,180669,442538,746939,1.34349e+11,-6.19752e+10,8.74991e+09,9.53783e+08,2.49123e+09,3.00043e+09,-2.8351e+08,-2.46403e+08,-1.55376e+08,-3.09997e+06,-2.26307e+07,4.15288e+07,1.06201e-08,-4.24173e-09,-2.43258e-25,2.58494e-26,1.55096e-25,1.24077e-24,-1.336e-07,5.55634e-08,-6.72457e-09,0,0,0,-6.20385e-25,0,1.65436e-24,-3.63665e-06,-6.76042e-08,-1.50745e-06,0.200051,0.200012,16.2999,0.000554665,-0.000266635,-3.53564e-06,0,0,0,
60,2023/03/01 12:00:60.000,0,0,0,0,0,0,1.39551e+11,-4.58058e+10,-1.98568e+10,10506.9,25837.1,11200.7,-3.03926e+07,3.55636e+08,1.87607e+08,-968.261,-63.1077,23.4373,0.194456,-0.092068,-0.00183133,-0.0699061,0.0647698,0.0791898,0.992294,-0.000534618,0.000252928,3.45647e-06,0.00236666,0.000254599,-1855101.618831206,-5626121.937403881,3322397.642468946,4351.89877,-4218.052466,-4693.403225,4291.35539,-4244.280387,-4725.396942,-9.467721186e-07,8.287991521e-07,8.08828792e-07,0.513813,4.75538,419124,10822.8,35870.3,1500.46,15626.3,32908.1,8884.6,4.64201e-06,1,2.68648e-12,3.13477e+06,5.66013e+06,-2.06619e+06,-225392,-391511,-1.4145e+06,1.32702e+11,-6.52511e+10,-9.97961e+09,-1.68792e+09,-2.69852e+09,-4.80064e+09,-2.28986e+06,3.29647e+08,2.37934e+08,3.20252e+07,4.31644e+07,-5.94835e+07,6.38515e-09,-3.53631e-09,-2.06074e-24,0,0,0,-1.32724e-07,5.93093e-08,7.75743e-09,0,0,0,1.32349e-23,0,9.92617e-24,-2.32651e-06,2.19629e-06,2.15927e-06,0.199978,0.199946,16.3,-0.000534625,0.000252932,3.45647e-06,0,0,0,
70,2023/03/01 12:01:10.000,0,0,0,0,0,0,1.39552e+11,-4.58055e+10,-1.98567e+10,10506.9,25837.1,11200.7,-3.04023e+07,3.55635e+08,1.87607e+08,-968.259,-63.1297,23.4257,-0.287729,0.138326,0.0060142,-0.338604,0.162761,0.0935994,0.922006,-0.000380317,0.000181229,2.4414e-06,0.00351188,0.000560652,-1811465.563185347,-5667943.72765755,3275253.289758616,4375.219681,-4146.217424,-4735.367069,5529.522245,-1547.782694,-5078.003538,-9.805866061e-07,6.378981554e-07,8.651454481e-07,0.505838,4.76381,419075,10308.9,35833,2008.19,11443.5,23657.4,26527,4.64201e-06,1,2.68873e-12,3.2482e+06,5.75185e+06,1.58104e+06,-147920,-486253,2.07294e+06,1.3396e+11,-6.24098e+10,-1.1268e+10,4.84243e+08,-4.18233e+08,8.07348e+09,-6.62015e+07,1.8099e+08,3.58043e+08,-6.00794e+07,-9.06166e+07,3.47049e+07,-4.96471e-09,2.80368e-09,-1.30104e-24,0,-1.03398e-25,4.1359e-25,-1.33763e-07,5.62787e-08,8.73116e-09,0,0,0,1.65436e-24,6.61744e-24,0,-2.99217e-06,6.52452e-07,2.16034e-06,0.199911,0.199937,16.3,-0.000380312,0.000181226,2.4414e-06,0,0,0,
80,2023/03/01 12:01:20.000,0,0,0,0,0,0,1.39552e+11,-4.58053e+10,-1.98566e+10,10506.8,25837.2,11200.7,-3.0412e+07,3.55634e+08,1.87607e+08,-968.258,-63.1517,23.414,-0.0219914,0.00706106,0.00224345,-0.927053,0.366662,0.0406926,-0.0669038,0.00052069,-0.000281747,-2.93121e-06,0.000254261,2.94522e-06,-1767599.083639457,-5709044.538076679,3227692.314851203,4397.983068,-4073.85804,-4776.726787,6118.632659,-759.0094887,4554.331144,-9.658950294e-07,8.956566591e-07,7.202068345e-07,0.497828,4.77217,419028,9844.7,35705.3,2692.45,-17372.6,-32031.4,-7156.35,4.64202e-06,1,2.69089e-12,-2.53666e+06,-5.80634e+06,2.44692e+06,-34860.2,-62795.8,-185121,1.33497e+11,-6.40476e+10,6.59972e+09,-8.3995e+07,-1.90169e+08,-1.4661e+08,-2.7346e+08,-2.13838e+08,-2.11844e+08,2.38536e+06,5.56853e+06,-8.71186e+06,7.75595e-09,-3.3884e-09,2.14298e-24,0,1.03398e-25,1.44757e-24,-1.32668e-07,5.76341e-08,-5.06591e-09,0,0,0,1.65436e-24,0,0,-3.42202e-06,2.44154e-07,-1.7895e-06,0.199988,0.200008,16.3001,0.000520682,-0.000281744,-2.93121e-06,0,0,0,
90,2023/03/01 12:01:30.000,0,0,0,0,0,0,1.39552e+11,-4.5805e+10,-1.98565e+10,10506.8,25837.2,11200.7,-3.04217e+07,3.55634e+08,1.87607e+08,-968.256,-63.1737,23.4024,0.310524,-0.174144,-0.00231045,-0.439197,0.2253,0.14306,0.857834,-0.0002034,0.00011723,1.05789e-06,0.00391625,0.000697144,-1723507.769766284,-5749419.171577392,3179720.785207747,4420.186075,-4000.983594,-4817.47715,6067.830035,-933.8500074,-4589.484021,-1.029549793e-06,5.855984189e-07,9.377748138e-07,0.489783,4.78045,418983,9504.59,35539,3226.05,7605.99,12892.3,33759.5,4.64202e-06,1,2.69296e-12,3.31837e+06,4.60917e+06,3.72571e+06,567277,1.1947e+06,-1.98324e+06,1.27848e+11,-7.41202e+10,-1.132e+10,2.21718e+09,5.45709e+09,-1.06906e+10,-1.08566e+08,8.09079e+07,3.83539e+08,8.49459e+07,9.32569e+07,4.37899e+06,-9.37374e-09,6.74862e-09,-1.80433e-24,0,0,6.20385e-25,-1.29157e-07,6.94929e-08,8.99798e-09,0,0,0,1.65436e-24,6.61744e-24,3.30872e-24,-3.45454e-06,2.63172e-07,1.77852e-06,0.20007,0.200038,16.2999,-0.000203391,0.000117223,1.05789e-06,0,0,0,
